CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
00.000.746/0001-03;2011-11-01;1404033.19;235.650222900000;1393183.58;0.00;0.00;104
00.000.746/0001-03;2011-11-03;1429432.51;239.370020400000;1415175.33;0.00;0.00;104
00.000.746/0001-03;2011-11-04;1439965.92;241.160812300000;1425762.64;0.00;0.00;104
00.000.746/0001-03;2011-11-07;1450943.74;242.989048000000;1436571.32;0.00;0.00;104
00.000.746/0001-03;2011-11-08;1445982.22;242.123449400000;1431453.83;0.00;0.00;104
00.000.746/0001-03;2011-11-09;1409305.06;235.890982400000;1394606.97;0.00;0.00;104
00.000.746/0001-03;2011-11-10;1402526.72;234.716401300000;1387662.75;0.00;0.00;104
00.000.746/0001-03;2011-11-11;1430991.38;239.503125800000;1415962.26;0.00;0.00;104
00.000.746/0001-03;2011-11-14;1424479.76;238.372378700000;1409277.19;0.00;0.00;104
00.000.746/0001-03;2011-11-16;1429332.22;239.163928900000;1413956.90;0.00;0.00;104
00.000.746/0001-03;2011-11-17;1390798.98;232.616921200000;1375250.45;0.00;0.00;104
00.000.746/0001-03;2011-11-18;1385099.11;231.624194900000;1369381.37;0.00;0.00;104
00.000.746/0001-03;2011-11-21;1372354.83;229.440045800000;1356468.50;0.00;0.00;104
00.000.746/0001-03;2011-11-22;1362485.63;227.743342500000;1346437.45;0.00;0.00;104
00.000.746/0001-03;2011-11-23;1338964.15;223.737600100000;1322755.17;0.00;0.00;104
00.000.746/0001-03;2011-11-24;1347738.33;225.199475800000;1331397.90;0.00;0.00;104
00.000.746/0001-03;2011-11-25;1335517.37;223.126400900000;1319141.71;0.00;0.00;104
00.000.746/0001-03;2011-11-28;1361542.73;227.501745700000;1345009.11;0.00;0.00;104
00.000.746/0001-03;2011-11-29;1341348.01;224.539280300000;1327494.77;0.00;0.00;104
00.000.746/0001-03;2011-11-30;1380589.02;231.149847700000;1366576.99;0.00;0.00;104
00.000.777/0001-56;2011-11-01;13879287.59;8.764862000000;13802295.14;0.00;959.99;12356
00.000.777/0001-56;2011-11-03;13817374.73;8.766748000000;13804883.80;0.00;381.21;16111
00.000.777/0001-56;2011-11-04;13824762.10;8.769473000000;13808940.62;0.00;234.38;16110
00.000.777/0001-56;2011-11-07;13828791.80;8.771748000000;13809543.37;0.00;2978.42;16108
00.000.777/0001-56;2011-11-08;13832573.13;8.773815000000;13809897.71;0.00;2900.33;16107
00.000.777/0001-56;2011-11-09;13838757.47;8.776429000000;13812661.04;0.00;1351.44;16105
00.000.777/0001-56;2011-11-10;13843887.89;8.777518000000;13814375.03;0.00;0.00;16105
00.000.777/0001-56;2011-11-11;13850451.47;8.779694000000;13817520.65;0.00;278.08;16104
00.000.777/0001-56;2011-11-14;13845227.49;8.781436000000;13808833.09;0.00;11430.25;16099
00.000.777/0001-56;2011-11-16;13848750.83;8.783586000000;13808960.45;0.00;3252.51;16096
00.000.777/0001-56;2011-11-17;13859292.72;8.788119000000;13816086.83;0.00;0.00;16096
00.000.777/0001-56;2011-11-18;13865033.79;8.789873000000;13818411.16;0.00;433.45;16095
00.000.777/0001-56;2011-11-21;13830028.93;8.791171000000;13779818.53;0.00;40633.20;16092
00.000.777/0001-56;2011-11-22;13835200.14;8.792671000000;13781578.92;0.00;590.07;16090
00.000.777/0001-56;2011-11-23;13839842.25;8.794724000000;13782864.35;0.00;1932.91;16090
00.000.777/0001-56;2011-11-24;13846468.74;8.797036000000;13785954.29;0.00;533.01;16090
00.000.777/0001-56;2011-11-25;13852898.67;8.799092000000;13788847.78;0.00;329.11;16089
00.000.777/0001-56;2011-11-28;13857570.23;8.800708000000;13789124.19;0.00;2255.16;16086
00.000.777/0001-56;2011-11-29;13858364.36;8.802139000000;13785507.35;0.00;5859.27;16082
00.000.777/0001-56;2011-11-30;13863210.30;8.804477000000;13737356.12;0.00;51812.68;16082
00.016.991/0001-09;2011-11-01;60908617.01;5.069684000000;60089304.41;18500.00;221615.26;2925
00.016.991/0001-09;2011-11-03;61289247.02;5.139419000000;60795379.82;10200.00;130671.41;2925
00.016.991/0001-09;2011-11-04;61583809.57;5.173232000000;61170111.67;28192.00;53442.23;2922
00.016.991/0001-09;2011-11-07;61896339.34;5.224444000000;61820204.86;57100.00;12679.89;2922
00.016.991/0001-09;2011-11-08;62288738.21;5.207495000000;61633003.97;100250.00;86892.80;2920
00.016.991/0001-09;2011-11-09;60716935.58;5.086370000000;60198997.82;10300.00;10733.06;2917
00.016.991/0001-09;2011-11-10;60526524.13;5.062196000000;59890415.75;0.00;22482.06;2915
00.016.991/0001-09;2011-11-11;60983287.38;5.161647000000;61024352.61;2000.00;44660.69;2915
00.016.991/0001-09;2011-11-14;60729626.90;5.133454000000;60629486.16;7000.00;68545.50;2912
00.016.991/0001-09;2011-11-16;60888238.33;5.161004000000;60969340.71;14800.00;330.00;2913
00.016.991/0001-09;2011-11-17;59135828.06;5.025077000000;59339445.65;1500.00;25620.08;2909
00.016.991/0001-09;2011-11-18;58900936.08;5.003477000000;59084940.63;19000.00;18443.01;2908
00.016.991/0001-09;2011-11-21;58563251.09;4.958795000000;58476862.67;5000.00;85303.23;2905
00.016.991/0001-09;2011-11-22;58248245.18;4.926358000000;58069793.21;0.00;24554.55;2901
00.016.991/0001-09;2011-11-23;57422698.56;4.850335000000;56882961.53;9800.00;300511.00;2898
00.016.991/0001-09;2011-11-24;57885662.73;4.876792000000;57188693.29;1000.00;5537.51;2897
00.016.991/0001-09;2011-11-25;57454012.23;4.839786000000;56674267.35;2200.00;82673.40;2894
00.016.991/0001-09;2011-11-28;58207964.67;4.928040000000;57737666.55;34500.00;4554.15;2892
00.016.991/0001-09;2011-11-29;56874659.21;4.874138000000;57105693.27;5000.00;5459.30;2889
